Código;Nível;Unidade;Ativa;"Nome da Disciplina";"Nome Abreviado";"Nome em Inglês"
23016;Graduação;C3;Sim;"Acionamentos Elétricos";"Acionamentos Elétr.";"Electrical Actuation"
23140P;Pós-Graduação;C3;Sim;"Agregações em classificadores baseados em regras difusas";"Agreg clas reg dif";
01188D;Graduação;C3;Sim;"ALFABETIZACAO DIGITAL";"Alfabet. Digital";
09885D;Graduação;C3;Sim;"Alfabetização Digital";"Alfabetização Digit.";
23101P;Pós-Graduação;C3;Sim;"Alfabetização Digital";"Alfabetiz Digital";
23185D;Graduação;C3;Sim;"Alfabetização Digital";Alf.Dig.;
23016P;Pós-Graduação;C3;Sim;"Alfabetização Digital ";"Alfab Digit  - EaD";
23025P;Pós-Graduação;C3;Sim;"Alfabetização digital - Esp em Tec Inf e Com na Edu - EAD";"Alfabetiz. Digital";
23029P;Pós-Graduação;C3;Sim;"Alfabetização digital - Esp Soc Ens Med - EAD";"Alfabetização digita";
23150P;Pós-Graduação;C3;Sim;"Algorithms and Data Structures";"Algor and Data Str";"Algorithms and Data Structures"
01209;Graduação;C3;Sim;"ALGORITMO E PROGRAMAÇÃO DE COMPUTADORES I";"Algor. Pro. Comp. I";"Algorithm and Computer Programming I"
01214;Graduação;C3;Sim;"ALGORITMO E PROGRAMAÇÃO DE COMPUTADORES II";"Algor. Pro. Comp. II";"Algorithm and Computer Programming II"
23052;Graduação;C3;Sim;"Algoritmos Computacionais";"Algoritmos Computac.";"Computational Algorithms"
23067;Graduação;C3;Sim;"Algoritmos Computacionais";"Algoritmos Computac.";"Computational Algorithms"
23106;Graduação;C3;Sim;"Algoritmos Computacionais I";"Alg. Comp. I";
23107;Graduação;C3;Sim;"Algoritmos Computacionais II";"Alg. Comp. II";
23034P;Pós-Graduação;C3;Sim;"Algoritmos e Estruturas de Dados";"Algorit e Estr Dados";"Algorithms and Data Structures"
23084;Graduação;C3;Sim;"Algoritmos e Estruturas de Dados I";"Algor. Estr. Dados I";"Algorithms and Data Structures I"
23085;Graduação;C3;Sim;"Algoritmos e Estruturas de Dados II";"Algor. Est. Dados II";"Algorithms and Data Structures II"
03043P;Pós-Graduação;C3;Sim;"Algoritmos e Programas";"ALGORITMOS E PROGRAM";"Algorithms and Programs"
23108;Graduação;C3;Sim;"Algoritmos para Engenharia de Automação";"Algorit. Eng. Aut.";"Algorithms for Automation Engineering"
01137;Graduação;C3;Sim;"ANALISE DE ALGORITMOS";"Análise  Algorítimos";"Analysis of algorithms"
23102P;Pós-Graduação;C3;Sim;"Análise de Dados em Planilhas Eletrônicas";"An D Plan Eletrônic";
23107P;Pós-Graduação;C3;Sim;"Análise de Dados Não-Estruturados e Mídias Sociais";"An D Ñ Est Mid Soc";
23109;Graduação;C3;Sim;"Análise e Laboratórios de Circuitos";"Anal. Lab. de Circ.";"Circuits Analysis and Labs"
23053P;Pós-Graduação;C3;Sim;"Aprendizado de Máquina Aplicado à Bioinformática (Engª de Comp / ME)";"Aprend Máq Aplic Bio";
23160P;Pós-Graduação;C3;Sim;"Aprendizagem por Reforço: Fundamentos, Métodos e Aplicações";"Aprend Ref:F, M e Ap";
23064P;Pós-Graduação;C3;Sim;"Aquisição e Condicionamento de Dados (Esp Engª Autom e Instrum)";"Aquis Condic Dados";
