id_cidade;nm_cidade;uf
75;Alvarães;AM
76;Amaturá;AM
77;Anamã;AM
78;Anori;AM
79;Apuí;AM
80;Atalaia do Norte;AM
81;Autazes;AM
82;Barcelos;AM
83;Barreirinha;AM
84;Benjamin Constant;AM
85;Beruri;AM
86;Boa Vista do Ramos;AM
87;Boca do Acre;AM
88;Borba;AM
89;Caapiranga;AM
90;Canutama;AM
91;Carauari;AM
92;Careiro;AM
93;Careiro da Várzea;AM
94;Coari;AM
95;Codajás;AM
96;Eirunepé;AM
97;Envira;AM
98;Fonte Boa;AM
99;Guajará;AM
100;Humaitá;AM
101;Ipixuna;AM
102;Iranduba;AM
103;Itacoatiara;AM
104;Itamarati;AM
105;Itapiranga;AM
106;Japurá;AM
107;Juruá;AM
108;Jutaí;AM
109;Lábrea;AM
110;Manacapuru;AM
111;Manaquiri;AM
112;Manaus;AM
113;Manicoré;AM
114;Maraã;AM
115;Maués;AM
116;Nhamundá;AM
117;Nova Olinda do Norte;AM
118;Novo Airão;AM
119;Novo Aripuanã;AM
120;Parintins;AM
121;Pauini;AM
122;Presidente Figueiredo;AM
123;Rio Preto da Eva;AM
124;Santa Isabel do Rio Negro;AM
125;Santo Antônio do Içá;AM
126;São Gabriel da Cachoeira;AM
127;São Paulo de Olivença;AM
128;São Sebastião do Uatumã;AM
129;Silves;AM
130;Tabatinga;AM
131;Tapauá;AM
132;Tefé;AM
133;Tonantins;AM
134;Uarini;AM
135;Urucará;AM
136;Urucurituba;AM
