id_cidade;nm_cidade;uf
1828;Abaíra;BA
1829;Abaré;BA
1830;Acajutiba;BA
1831;Adustina;BA
1832;Água Fria;BA
1833;Érico Cardoso;BA
1834;Aiquara;BA
1835;Alagoinhas;BA
1836;Alcobaça;BA
1837;Almadina;BA
1838;Amargosa;BA
1839;Amélia Rodrigues;BA
1840;América Dourada;BA
1841;Anagé;BA
1842;Andaraí;BA
1843;Andorinha;BA
1844;Angical;BA
1845;Anguera;BA
1846;Antas;BA
1847;Antônio Cardoso;BA
1848;Antônio Gonçalves;BA
1849;Aporá;BA
1850;Apuarema;BA
1851;Aracatu;BA
1852;Araças;BA
1853;Araci;BA
1854;Aramari;BA
1855;Arataca;BA
1856;Aratuípe;BA
1857;Aurelino Leal;BA
1858;Baianópolis;BA
1859;Baixa Grande;BA
1860;Banzaê;BA
1861;Barra;BA
1862;Barra da Estiva;BA
1863;Barra do Choça;BA
1864;Barra do Mendes;BA
1865;Barra do Rocha;BA
1866;Barreiras;BA
1867;Barro Alto;BA
1868;Barrocas;BA
1869;Barro Preto;BA
1870;Belmonte;BA
1871;Belo Campo;BA
1872;Biritinga;BA
1873;Boa Nova;BA
1874;Boa Vista do Tupim;BA
1875;Bom Jesus da Lapa;BA
1876;Bom Jesus da Serra;BA
1877;Boninal;BA
1878;Bonito;BA
1879;Boquira;BA
1880;Botuporã;BA
1881;Brejões;BA
1882;Brejolândia;BA
1883;Brotas de Macaúbas;BA
1884;Brumado;BA
1885;Buerarema;BA
1886;Buritirama;BA
1887;Caatiba;BA
1888;Cabaceiras do Paraguaçu;BA
1889;Cachoeira;BA
1890;Caculé;BA
1891;Caém;BA
1892;Caetanos;BA
1893;Caetité;BA
1894;Cafarnaum;BA
1895;Cairu;BA
1896;Caldeirão Grande;BA
1897;Camacan;BA
1898;Camaçari;BA
1899;Camamu;BA
1900;Campo Alegre de Lourdes;BA
1901;Campo Formoso;BA
1902;Canápolis;BA
1903;Canarana;BA
1904;Canavieiras;BA
1905;Candeal;BA
1906;Candeias;BA
1907;Candiba;BA
1908;Cândido Sales;BA
1909;Cansanção;BA
1910;Canudos;BA
1911;Capela do Alto Alegre;BA
1912;Capim Grosso;BA
1913;Caraíbas;BA
1914;Caravelas;BA
1915;Cardeal da Silva;BA
1916;Carinhanha;BA
1917;Casa Nova;BA
1918;Castro Alves;BA
1919;Catolândia;BA
1920;Catu;BA
1921;Caturama;BA
1922;Central;BA
1923;Chorrochó;BA
1924;Cícero Dantas;BA
1925;Cipó;BA
1926;Coaraci;BA
1927;Cocos;BA
1928;Conceição da Feira;BA
1929;Conceição do Almeida;BA
1930;Conceição do Coité;BA
