id_cidade;nm_cidade;uf
3098;Afonso Cláudio;ES
3099;Águia Branca;ES
3100;Água Doce do Norte;ES
3101;Alegre;ES
3102;Alfredo Chaves;ES
3103;Alto Rio Novo;ES
3104;Anchieta;ES
3105;Apiacá;ES
3106;Aracruz;ES
3107;Atilio Vivacqua;ES
3108;Baixo Guandu;ES
3109;Barra de São Francisco;ES
3110;Boa Esperança;ES
3111;Bom Jesus do Norte;ES
3112;Brejetuba;ES
3113;Cachoeiro de Itapemirim;ES
3114;Cariacica;ES
3115;Castelo;ES
3116;Colatina;ES
3117;Conceição da Barra;ES
3118;Conceição do Castelo;ES
3119;Divino de São Lourenço;ES
3120;Domingos Martins;ES
3121;Dores do Rio Preto;ES
3122;Ecoporanga;ES
3123;Fundão;ES
3124;Governador Lindenberg;ES
3125;Guaçuí;ES
3126;Guarapari;ES
3127;Ibatiba;ES
3128;Ibiraçu;ES
3129;Ibitirama;ES
3130;Iconha;ES
3131;Irupi;ES
3132;Itaguaçu;ES
3133;Itapemirim;ES
3134;Itarana;ES
3135;Iúna;ES
3136;Jaguaré;ES
3137;Jerônimo Monteiro;ES
3138;João Neiva;ES
3139;Laranja da Terra;ES
3140;Linhares;ES
3141;Mantenópolis;ES
3142;Marataízes;ES
3143;Marechal Floriano;ES
3144;Marilândia;ES
3145;Mimoso do Sul;ES
3146;Montanha;ES
3147;Mucurici;ES
3148;Muniz Freire;ES
3149;Muqui;ES
3150;Nova Venécia;ES
3151;Pancas;ES
3152;Pedro Canário;ES
3153;Pinheiros;ES
3154;Piúma;ES
3155;Ponto Belo;ES
3156;Presidente Kennedy;ES
3157;Rio Bananal;ES
3158;Rio Novo do Sul;ES
3159;Santa Leopoldina;ES
3160;Santa Maria de Jetibá;ES
3161;Santa Teresa;ES
3162;São Domingos do Norte;ES
3163;São Gabriel da Palha;ES
3164;São José do Calçado;ES
3165;São Mateus;ES
3166;São Roque do Canaã;ES
3167;Serra;ES
3168;Sooretama;ES
3169;Vargem Alta;ES
3170;Venda Nova do Imigrante;ES
3171;Viana;ES
3172;Vila Pavão;ES
3173;Vila Valério;ES
3174;Vila Velha;ES
3175;Vitória;ES
