id_cidade;nm_cidade;uf
5324;Abadia de Goiás;GO
5325;Abadiânia;GO
5326;Acreúna;GO
5327;Adelândia;GO
5328;Água Fria de Goiás;GO
5329;Água Limpa;GO
5330;Águas Lindas de Goiás;GO
5331;Alexânia;GO
5332;Aloândia;GO
5333;Alto Horizonte;GO
5334;Alto Paraíso de Goiás;GO
5335;Alvorada do Norte;GO
5336;Amaralina;GO
5337;Americano do Brasil;GO
5338;Amorinópolis;GO
5339;Anápolis;GO
5340;Anhanguera;GO
5341;Anicuns;GO
5342;Aparecida de Goiânia;GO
5343;Aparecida do Rio Doce;GO
5344;Aporé;GO
5345;Araçu;GO
5346;Aragarças;GO
5347;Aragoiânia;GO
5348;Araguapaz;GO
5349;Arenópolis;GO
5350;Aruanã;GO
5351;Aurilândia;GO
5352;Avelinópolis;GO
5353;Baliza;GO
5354;Barro Alto;GO
5355;Bela Vista de Goiás;GO
5356;Bom Jardim de Goiás;GO
5357;Bom Jesus de Goiás;GO
5358;Bonfinópolis;GO
5359;Bonópolis;GO
5360;Brazabrantes;GO
5361;Britânia;GO
5362;Buriti Alegre;GO
5363;Buriti de Goiás;GO
5364;Buritinópolis;GO
5365;Cabeceiras;GO
5366;Cachoeira Alta;GO
5367;Cachoeira de Goiás;GO
5368;Cachoeira Dourada;GO
5369;Caçu;GO
5370;Caiapônia;GO
5371;Caldas Novas;GO
5372;Caldazinha;GO
5373;Campestre de Goiás;GO
5374;Campinaçu;GO
5375;Campinorte;GO
5376;Campo Alegre de Goiás;GO
5377;Campo Limpo de Goiás;GO
5378;Campos Belos;GO
5379;Campos Verdes;GO
5380;Carmo do Rio Verde;GO
5381;Castelândia;GO
5382;Catalão;GO
5383;Caturaí;GO
5384;Cavalcante;GO
5385;Ceres;GO
5386;Cezarina;GO
5387;Chapadão do Céu;GO
5388;Cidade Ocidental;GO
5389;Cocalzinho de Goiás;GO
5390;Colinas do Sul;GO
5391;Córrego do Ouro;GO
5392;Corumbá de Goiás;GO
5393;Corumbaíba;GO
5394;Cristalina;GO
5395;Cristianópolis;GO
