id_cidade;nm_cidade;uf
451;Açailândia;MA
452;Afonso Cunha;MA
453;Água Doce do Maranhão;MA
454;Alcântara;MA
455;Aldeias Altas;MA
456;Altamira do Maranhão;MA
457;Alto Alegre do Maranhão;MA
458;Alto Alegre do Pindaré;MA
459;Alto Parnaíba;MA
460;Amapá do Maranhão;MA
461;Amarante do Maranhão;MA
462;Anajatuba;MA
463;Anapurus;MA
464;Apicum-Açu;MA
465;Araguanã;MA
466;Araioses;MA
467;Arame;MA
468;Arari;MA
469;Axixá;MA
470;Bacabal;MA
471;Bacabeira;MA
472;Bacuri;MA
473;Bacurituba;MA
474;Balsas;MA
475;Barão de Grajaú;MA
476;Barra do Corda;MA
477;Barreirinhas;MA
478;Belágua;MA
479;Bela Vista do Maranhão;MA
480;Benedito Leite;MA
481;Bequimão;MA
482;Bernardo do Mearim;MA
483;Boa Vista do Gurupi;MA
484;Bom Jardim;MA
485;Bom Jesus das Selvas;MA
486;Bom Lugar;MA
487;Brejo;MA
488;Brejo de Areia;MA
489;Buriti;MA
490;Buriti Bravo;MA
491;Buriticupu;MA
492;Buritirana;MA
493;Cachoeira Grande;MA
494;Cajapió;MA
495;Cajari;MA
496;Campestre do Maranhão;MA
497;Cândido Mendes;MA
498;Cantanhede;MA
499;Capinzal do Norte;MA
500;Carolina;MA
501;Carutapera;MA
502;Caxias;MA
503;Cedral;MA
504;Central do Maranhão;MA
505;Centro do Guilherme;MA
506;Centro Novo do Maranhão;MA
507;Chapadinha;MA
508;Cidelândia;MA
509;Codó;MA
510;Coelho Neto;MA
511;Colinas;MA
512;Conceição do Lago-Açu;MA
513;Coroatá;MA
514;Cururupu;MA
515;Davinópolis;MA
516;Dom Pedro;MA
517;Duque Bacelar;MA
518;Esperantinópolis;MA
519;Estreito;MA
520;Feira Nova do Maranhão;MA
521;Fernando Falcão;MA
522;Formosa da Serra Negra;MA
523;Fortaleza dos Nogueiras;MA
524;Fortuna;MA
525;Godofredo Viana;MA
526;Gonçalves Dias;MA
527;Governador Archer;MA
528;Governador Edison Lobão;MA
529;Governador Eugênio Barros;MA
530;Governador Luiz Rocha;MA
531;Governador Newton Bello;MA
532;Governador Nunes Freire;MA
533;Graça Aranha;MA
534;Grajaú;MA
535;Guimarães;MA
536;Humberto de Campos;MA
537;Icatu;MA
538;Igarapé do Meio;MA
539;Igarapé Grande;MA
540;Imperatriz;MA
541;Itaipava do Grajaú;MA
542;Itapecuru Mirim;MA
543;Itinga do Maranhão;MA
544;Jatobá;MA
545;Jenipapo dos Vieiras;MA
546;João Lisboa;MA
547;Joselândia;MA
548;Junco do Maranhão;MA
549;Lago da Pedra;MA
550;Lago do Junco;MA
551;Lago Verde;MA
552;Lagoa do Mato;MA
553;Lago dos Rodrigues;MA
554;Lagoa Grande do Maranhão;MA
555;Lajeado Novo;MA
556;Lima Campos;MA
557;Loreto;MA
558;Luís Domingues;MA
559;Magalhães de Almeida;MA
560;Maracaçumé;MA
561;Marajá do Sena;MA
562;Maranhãozinho;MA
563;Mata Roma;MA
564;Matinha;MA
565;Matões;MA
566;Matões do Norte;MA
567;Milagres do Maranhão;MA
568;Mirador;MA
569;Miranda do Norte;MA
570;Mirinzal;MA
571;Monção;MA
572;Montes Altos;MA
573;Morros;MA
574;Nina Rodrigues;MA
575;Nova Colinas;MA
576;Nova Iorque;MA
577;Nova Olinda do Maranhão;MA
578;Olho D'Água das Cunhãs;MA
579;Olinda Nova do Maranhão;MA
580;Paço do Lumiar;MA
581;Palmeirândia;MA
582;Paraibano;MA
583;Parnarama;MA
584;Passagem Franca;MA
585;Pastos Bons;MA
586;Paulino Neves;MA
587;Paulo Ramos;MA
588;Pedreiras;MA
589;Pedro do Rosário;MA
590;Penalva;MA
591;Peri Mirim;MA
592;Peritoró;MA
593;Pindaré-Mirim;MA
594;Pinheiro;MA
595;Pio XII;MA
596;Pirapemas;MA
597;Poção de Pedras;MA
598;Porto Franco;MA
599;Porto Rico do Maranhão;MA
600;Presidente Dutra;MA
601;Presidente Juscelino;MA
602;Presidente Médici;MA
603;Presidente Sarney;MA
604;Presidente Vargas;MA
605;Primeira Cruz;MA
606;Raposa;MA
607;Riachão;MA
608;Ribamar Fiquene;MA
609;Rosário;MA
610;Sambaíba;MA
611;Santa Filomena do Maranhão;MA
612;Santa Helena;MA
613;Santa Inês;MA
614;Santa Luzia;MA
615;Santa Luzia do Paruá;MA
616;Santa Quitéria do Maranhão;MA
617;Santa Rita;MA
618;Santana do Maranhão;MA
619;Santo Amaro do Maranhão;MA
620;Santo Antônio dos Lopes;MA
621;São Benedito do Rio Preto;MA
622;São Bento;MA
623;São Bernardo;MA
624;São Domingos do Azeitão;MA
625;São Domingos do Maranhão;MA
626;São Félix de Balsas;MA
627;São Francisco do Brejão;MA
628;São Francisco do Maranhão;MA
629;São João Batista;MA
630;São João do Carú;MA
631;São João do Paraíso;MA
632;São João do Soter;MA
633;São João dos Patos;MA
634;São José de Ribamar;MA
