id_cidade;nm_cidade;uf
2245;Abadia dos Dourados;MG
2246;Abaeté;MG
2247;Abre Campo;MG
2248;Acaiaca;MG
2249;Açucena;MG
2250;Água Boa;MG
2251;Água Comprida;MG
2252;Aguanil;MG
2253;Águas Formosas;MG
2254;Águas Vermelhas;MG
2255;Aimorés;MG
2256;Aiuruoca;MG
2257;Alagoa;MG
2258;Albertina;MG
2259;Além Paraíba;MG
2260;Alfenas;MG
2261;Alfredo Vasconcelos;MG
2262;Almenara;MG
2263;Alpercata;MG
2264;Alpinópolis;MG
2265;Alterosa;MG
2266;Alto Caparaó;MG
2267;Alto Rio Doce;MG
2268;Alvarenga;MG
2269;Alvinópolis;MG
2270;Alvorada de Minas;MG
2271;Amparo do Serra;MG
2272;Andradas;MG
2273;Cachoeira de Pajeú;MG
2274;Andrelândia;MG
2275;Angelândia;MG
2276;Antônio Carlos;MG
2277;Antônio Dias;MG
2278;Antônio Prado de Minas;MG
2279;Araçaí;MG
2280;Aracitaba;MG
2281;Araçuaí;MG
2282;Araguari;MG
2283;Arantina;MG
2284;Araponga;MG
2285;Araporã;MG
2286;Arapuá;MG
2287;Araújos;MG
2288;Araxá;MG
2289;Arceburgo;MG
2290;Arcos;MG
2291;Areado;MG
2292;Argirita;MG
2293;Aricanduva;MG
2294;Arinos;MG
2295;Astolfo Dutra;MG
2296;Ataléia;MG
2297;Augusto de Lima;MG
2298;Baependi;MG
2299;Baldim;MG
2300;Bambuí;MG
2301;Bandeira;MG
2302;Bandeira do Sul;MG
2303;Barão de Cocais;MG
2304;Barão de Monte Alto;MG
2305;Barbacena;MG
2306;Barra Longa;MG
2307;Barroso;MG
2308;Bela Vista de Minas;MG
2309;Belmiro Braga;MG
2310;Belo Horizonte;MG
2311;Belo Oriente;MG
2312;Belo Vale;MG
2313;Berilo;MG
2314;Bertópolis;MG
2315;Berizal;MG
2316;Betim;MG
2317;Bias Fortes;MG
2318;Bicas;MG
2319;Biquinhas;MG
2320;Boa Esperança;MG
2321;Bocaina de Minas;MG
2322;Bocaiúva;MG
2323;Bom Despacho;MG
2324;Bom Jardim de Minas;MG
2325;Bom Jesus da Penha;MG
2326;Bom Jesus do Amparo;MG
2327;Bom Jesus do Galho;MG
2328;Bom Repouso;MG
2329;Bom Sucesso;MG
2330;Bonfim;MG
2331;Bonfinópolis de Minas;MG
2332;Bonito de Minas;MG
2333;Borda da Mata;MG
2334;Botelhos;MG
2335;Botumirim;MG
2336;Brasilândia de Minas;MG
2337;Brasília de Minas;MG
2338;Brás Pires;MG
2339;Braúnas;MG
2340;Brazópolis;MG
2341;Brumadinho;MG
2342;Bueno Brandão;MG
2343;Buenópolis;MG
2344;Bugre;MG
2345;Buritis;MG
2346;Buritizeiro;MG
2347;Cabeceira Grande;MG
2348;Cabo Verde;MG
2349;Cachoeira da Prata;MG
2350;Cachoeira de Minas;MG
2351;Cachoeira Dourada;MG
2352;Caetanópolis;MG
2353;Caeté;MG
2354;Caiana;MG
2355;Cajuri;MG
2356;Caldas;MG
2357;Camacho;MG
2358;Camanducaia;MG
2359;Cambuí;MG
2360;Cambuquira;MG
2361;Campanário;MG
2362;Campanha;MG
2363;Campestre;MG
2364;Campina Verde;MG
2365;Campo Azul;MG
2366;Campo Belo;MG
2367;Campo do Meio;MG
2368;Campo Florido;MG
2369;Campos Altos;MG
2370;Campos Gerais;MG
2371;Canaã;MG
2372;Canápolis;MG
2373;Cana Verde;MG
2374;Candeias;MG
2375;Cantagalo;MG
2376;Caparaó;MG
2377;Capela Nova;MG
2378;Capelinha;MG
2379;Capetinga;MG
2380;Capim Branco;MG
2381;Capinópolis;MG
2382;Capitão Andrade;MG
2383;Capitão Enéas;MG
2384;Capitólio;MG
2385;Caputira;MG
2386;Caraí;MG
2387;Caranaíba;MG
2388;Carandaí;MG
2389;Carangola;MG
2390;Caratinga;MG
