id_cidade;nm_cidade;uf
5104;Água Clara;MS
5105;Alcinópolis;MS
5106;Amambai;MS
5107;Anastácio;MS
5108;Anaurilândia;MS
5109;Angélica;MS
5110;Antônio João;MS
5111;Aparecida do Taboado;MS
5112;Aquidauana;MS
5113;Aral Moreira;MS
5114;Bandeirantes;MS
5115;Bataguassu;MS
5116;Batayporã;MS
5117;Bela Vista;MS
5118;Bodoquena;MS
5119;Bonito;MS
5120;Brasilândia;MS
5121;Caarapó;MS
5122;Camapuã;MS
5123;Campo Grande;MS
5124;Caracol;MS
5125;Cassilândia;MS
5126;Chapadão do Sul;MS
5127;Corguinho;MS
5128;Coronel Sapucaia;MS
5129;Corumbá;MS
5130;Costa Rica;MS
5131;Coxim;MS
5132;Deodápolis;MS
5133;Dois Irmãos do Buriti;MS
5134;Douradina;MS
5135;Dourados;MS
5136;Eldorado;MS
5137;Fátima do Sul;MS
5138;Figueirão;MS
5139;Glória de Dourados;MS
5140;Guia Lopes da Laguna;MS
5141;Iguatemi;MS
5142;Inocência;MS
5143;Itaporã;MS
5144;Itaquiraí;MS
5145;Ivinhema;MS
5146;Japorã;MS
5147;Jaraguari;MS
5148;Jardim;MS
5149;Jateí;MS
5150;Juti;MS
5151;Ladário;MS
5152;Laguna Carapã;MS
5153;Maracaju;MS
5154;Miranda;MS
5155;Mundo Novo;MS
5156;Naviraí;MS
5157;Nioaque;MS
5158;Nova Alvorada do Sul;MS
5159;Nova Andradina;MS
5160;Novo Horizonte do Sul;MS
5161;Paraíso das Águas;MS
5162;Paranaíba;MS
5163;Paranhos;MS
5164;Pedro Gomes;MS
5165;Ponta Porã;MS
5166;Porto Murtinho;MS
5167;Ribas do Rio Pardo;MS
5168;Rio Brilhante;MS
5169;Rio Negro;MS
5170;Rio Verde de Mato Grosso;MS
5171;Rochedo;MS
5172;Santa Rita do Pardo;MS
5173;São Gabriel do Oeste;MS
5174;Sete Quedas;MS
5175;Selvíria;MS
5176;Sidrolândia;MS
5177;Sonora;MS
5178;Tacuru;MS
5179;Taquarussu;MS
5180;Terenos;MS
5181;Três Lagoas;MS
5182;Vicentina;MS
