id_cidade;nm_cidade;uf
5183;Acorizal;MT
5184;Água Boa;MT
5185;Alta Floresta;MT
5186;Alto Araguaia;MT
5187;Alto Boa Vista;MT
5188;Alto Garças;MT
5189;Alto Paraguai;MT
5190;Alto Taquari;MT
5191;Apiacás;MT
5192;Araguaiana;MT
5193;Araguainha;MT
5194;Araputanga;MT
5195;Arenápolis;MT
5196;Aripuanã;MT
5197;Barão de Melgaço;MT
5198;Barra do Bugres;MT
5199;Barra do Garças;MT
5200;Bom Jesus do Araguaia;MT
5201;Brasnorte;MT
5202;Cáceres;MT
5203;Campinápolis;MT
5204;Campo Novo do Parecis;MT
5205;Campo Verde;MT
5206;Campos de Júlio;MT
5207;Canabrava do Norte;MT
5208;Canarana;MT
5209;Carlinda;MT
5210;Castanheira;MT
5211;Chapada dos Guimarães;MT
5212;Cláudia;MT
5213;Cocalinho;MT
5214;Colíder;MT
5215;Colniza;MT
5216;Comodoro;MT
5217;Confresa;MT
5218;Conquista D'Oeste;MT
5219;Cotriguaçu;MT
5220;Cuiabá;MT
5221;Curvelândia;MT
5222;Denise;MT
5223;Diamantino;MT
5224;Dom Aquino;MT
5225;Feliz Natal;MT
5226;Figueirópolis D'Oeste;MT
5227;Gaúcha do Norte;MT
5228;General Carneiro;MT
5229;Glória D'Oeste;MT
5230;Guarantã do Norte;MT
5231;Guiratinga;MT
5232;Indiavaí;MT
5233;Ipiranga do Norte;MT
5234;Itanhangá;MT
5235;Itaúba;MT
5236;Itiquira;MT
5237;Jaciara;MT
5238;Jangada;MT
5239;Jauru;MT
5240;Juara;MT
5241;Juína;MT
5242;Juruena;MT
5243;Juscimeira;MT
5244;Lambari D'Oeste;MT
5245;Lucas do Rio Verde;MT
5246;Luciara;MT
5247;Vila Bela da Santíssima Trindade;MT
5248;Marcelândia;MT
5249;Matupá;MT
5250;Mirassol D'Oeste;MT
5251;Nobres;MT
5252;Nortelândia;MT
5253;Nossa Senhora do Livramento;MT
5254;Nova Bandeirantes;MT
5255;Nova Nazaré;MT
5256;Nova Lacerda;MT
5257;Nova Santa Helena;MT
5258;Nova Brasilândia;MT
5259;Nova Canaã do Norte;MT
5260;Nova Mutum;MT
5261;Nova Olímpia;MT
5262;Nova Ubiratã;MT
5263;Nova Xavantina;MT
5264;Novo Mundo;MT
5265;Novo Horizonte do Norte;MT
5266;Novo São Joaquim;MT
5267;Paranaíta;MT
5268;Paranatinga;MT
5269;Novo Santo Antônio;MT
5270;Pedra Preta;MT
5271;Peixoto de Azevedo;MT
5272;Planalto da Serra;MT
5273;Poconé;MT
5274;Pontal do Araguaia;MT
5275;Ponte Branca;MT
5276;Pontes e Lacerda;MT
5277;Porto Alegre do Norte;MT
5278;Porto dos Gaúchos;MT
5279;Porto Esperidião;MT
5280;Porto Estrela;MT
5281;Poxoréo;MT
5282;Primavera do Leste;MT
5283;Querência;MT
5284;São José dos Quatro Marcos;MT
5285;Reserva do Cabaçal;MT
5286;Ribeirão Cascalheira;MT
5287;Ribeirãozinho;MT
5288;Rio Branco;MT
5289;Santa Carmem;MT
5290;Santo Afonso;MT
5291;São José do Povo;MT
5292;São José do Rio Claro;MT
5293;São José do Xingu;MT
5294;São Pedro da Cipa;MT
5295;Rondolândia;MT
5296;Rondonópolis;MT
5297;Rosário Oeste;MT
5298;Santa Cruz do Xingu;MT
5299;Salto do Céu;MT
5300;Santa Rita do Trivelato;MT
5301;Santa Terezinha;MT
5302;Santo Antônio do Leste;MT
5303;Santo Antônio do Leverger;MT
5304;São Félix do Araguaia;MT
5305;Sapezal;MT
5306;Serra Nova Dourada;MT
5307;Sinop;MT
5308;Sorriso;MT
5309;Tabaporã;MT
5310;Tangará da Serra;MT
5311;Tapurah;MT
5312;Terra Nova do Norte;MT
5313;Tesouro;MT
5314;Torixoréu;MT
5315;União do Sul;MT
5316;Vale de São Domingos;MT
5317;Várzea Grande;MT
5318;Vera;MT
5319;Vila Rica;MT
5320;Nova Guarita;MT
5321;Nova Marilândia;MT
5322;Nova Maringá;MT
5323;Nova Monte Verde;MT
