id_cidade;nm_cidade;uf
1243;Água Branca;PB
1244;Aguiar;PB
1245;Alagoa Grande;PB
1246;Alagoa Nova;PB
1247;Alagoinha;PB
1248;Alcantil;PB
1249;Algodão de Jandaíra;PB
1250;Alhandra;PB
1251;São João do Rio do Peixe;PB
1252;Amparo;PB
1253;Aparecida;PB
1254;Araçagi;PB
1255;Arara;PB
1256;Araruna;PB
1257;Areia;PB
1258;Areia de Baraúnas;PB
1259;Areial;PB
1260;Aroeiras;PB
1261;Assunção;PB
1262;Baía da Traição;PB
1263;Bananeiras;PB
1264;Baraúna;PB
1265;Barra de Santana;PB
1266;Barra de Santa Rosa;PB
1267;Barra de São Miguel;PB
1268;Bayeux;PB
1269;Belém;PB
1270;Belém do Brejo do Cruz;PB
1271;Bernardino Batista;PB
1272;Boa Ventura;PB
1273;Boa Vista;PB
1274;Bom Jesus;PB
1275;Bom Sucesso;PB
1276;Bonito de Santa Fé;PB
1277;Boqueirão;PB
1278;Igaracy;PB
1279;Borborema;PB
1280;Brejo do Cruz;PB
1281;Brejo dos Santos;PB
1282;Caaporã;PB
1283;Cabaceiras;PB
1284;Cabedelo;PB
1285;Cachoeira dos Índios;PB
1286;Cacimba de Areia;PB
1287;Cacimba de Dentro;PB
1288;Cacimbas;PB
1289;Caiçara;PB
1290;Cajazeiras;PB
1291;Cajazeirinhas;PB
1292;Caldas Brandão;PB
1293;Camalaú;PB
1294;Campina Grande;PB
1295;Capim;PB
1296;Caraúbas;PB
1297;Carrapateira;PB
1298;Casserengue;PB
1299;Catingueira;PB
1300;Catolé do Rocha;PB
1301;Caturité;PB
1302;Conceição;PB
1303;Condado;PB
1304;Conde;PB
1305;Congo;PB
1306;Coremas;PB
1307;Coxixola;PB
1308;Cruz do Espírito Santo;PB
1309;Cubati;PB
1310;Cuité;PB
1311;Cuitegi;PB
1312;Cuité de Mamanguape;PB
1313;Curral de Cima;PB
1314;Curral Velho;PB
1315;Damião;PB
1316;Desterro;PB
1317;Vista Serrana;PB
1318;Diamante;PB
1319;Dona Inês;PB
1320;Duas Estradas;PB
1321;Emas;PB
1322;Esperança;PB
1323;Fagundes;PB
1324;Frei Martinho;PB
1325;Gado Bravo;PB
1326;Guarabira;PB
1327;Gurinhém;PB
1328;Gurjão;PB
1329;Ibiara;PB
1330;Imaculada;PB
1331;Ingá;PB
1332;Itabaiana;PB
1333;Itaporanga;PB
1334;Itapororoca;PB
1335;Itatuba;PB
1336;Jacaraú;PB
1337;Jericó;PB
1338;João Pessoa;PB
1339;Juarez Távora;PB
1340;Juazeirinho;PB
1341;Junco do Seridó;PB
1342;Juripiranga;PB
1343;Juru;PB
1344;Lagoa;PB
1345;Lagoa de Dentro;PB
1346;Lagoa Seca;PB
1347;Lastro;PB
1348;Livramento;PB
1349;Logradouro;PB
1350;Lucena;PB
1351;Mãe D'Água;PB
1352;Malta;PB
1353;Mamanguape;PB
1354;Manaíra;PB
1355;Marcação;PB
1356;Mari;PB
