id_cidade;nm_cidade;uf
1466;Abreu e Lima;PE
1467;Afogados da Ingazeira;PE
1468;Afrânio;PE
1469;Agrestina;PE
1470;Água Preta;PE
1471;Águas Belas;PE
1472;Alagoinha;PE
1473;Aliança;PE
1474;Altinho;PE
1475;Amaraji;PE
1476;Angelim;PE
1477;Araçoiaba;PE
1478;Araripina;PE
1479;Arcoverde;PE
1480;Barra de Guabiraba;PE
1481;Barreiros;PE
1482;Belém de Maria;PE
1483;Belém do São Francisco;PE
1484;Belo Jardim;PE
1485;Betânia;PE
1486;Bezerros;PE
1487;Bodocó;PE
1488;Bom Conselho;PE
1489;Bom Jardim;PE
1490;Bonito;PE
1491;Brejão;PE
1492;Brejinho;PE
1493;Brejo da Madre de Deus;PE
1494;Buenos Aires;PE
1495;Buíque;PE
1496;Cabo de Santo Agostinho;PE
1497;Cabrobó;PE
1498;Cachoeirinha;PE
1499;Caetés;PE
1500;Calçado;PE
1501;Calumbi;PE
1502;Camaragibe;PE
1503;Camocim de São Félix;PE
1504;Camutanga;PE
1505;Canhotinho;PE
1506;Capoeiras;PE
1507;Carnaíba;PE
1508;Carnaubeira da Penha;PE
1509;Carpina;PE
1510;Caruaru;PE
1511;Casinhas;PE
1512;Catende;PE
1513;Cedro;PE
1514;Chã de Alegria;PE
1515;Chã Grande;PE
1516;Condado;PE
1517;Correntes;PE
1518;Cortês;PE
1519;Cumaru;PE
1520;Cupira;PE
1521;Custódia;PE
1522;Dormentes;PE
1523;Escada;PE
1524;Exu;PE
1525;Feira Nova;PE
1526;Fernando de Noronha;PE
1527;Ferreiros;PE
1528;Flores;PE
1529;Floresta;PE
1530;Frei Miguelinho;PE
1531;Gameleira;PE
1532;Garanhuns;PE
1533;Glória do Goitá;PE
1534;Goiana;PE
1535;Granito;PE
1536;Gravatá;PE
1537;Iati;PE
1538;Ibimirim;PE
1539;Ibirajuba;PE
1540;Igarassu;PE
1541;Iguaraci;PE
1542;Inajá;PE
1543;Ingazeira;PE
1544;Ipojuca;PE
1545;Ipubi;PE
1546;Itacuruba;PE
1547;Itaíba;PE
1548;Ilha de Itamaracá;PE
1549;Itambé;PE
1550;Itapetim;PE
1551;Itapissuma;PE
1552;Itaquitinga;PE
1553;Jaboatão dos Guararapes;PE
1554;Jaqueira;PE
1555;Jataúba;PE
1556;Jatobá;PE
1557;João Alfredo;PE
1558;Joaquim Nabuco;PE
1559;Jucati;PE
1560;Jupi;PE
1561;Jurema;PE
1562;Lagoa do Carro;PE
1563;Lagoa de Itaenga;PE
1564;Lagoa do Ouro;PE
1565;Lagoa dos Gatos;PE
1566;Lagoa Grande;PE
1567;Lajedo;PE
1568;Limoeiro;PE
1569;Macaparana;PE
1570;Machados;PE
1571;Manari;PE
1572;Maraial;PE
1573;Mirandiba;PE
1574;Moreno;PE
1575;Nazaré da Mata;PE
1576;Olinda;PE
1577;Orobó;PE
1578;Orocó;PE
1579;Ouricuri;PE
1580;Palmares;PE
1581;Palmeirina;PE
1582;Panelas;PE
1583;Paranatama;PE
1584;Parnamirim;PE
1585;Passira;PE
1586;Paudalho;PE
1587;Paulista;PE
1588;Pedra;PE
1589;Pesqueira;PE
1590;Petrolândia;PE
1591;Petrolina;PE
1592;Poção;PE
1593;Pombos;PE
1594;Primavera;PE
1595;Quipapá;PE
1596;Quixaba;PE
1597;Recife;PE
1598;Riacho das Almas;PE
1599;Ribeirão;PE
1600;Rio Formoso;PE
1601;Sairé;PE
1602;Salgadinho;PE
1603;Salgueiro;PE
1604;Saloá;PE
1605;Sanharó;PE
1606;Santa Cruz;PE
1607;Santa Cruz da Baixa Verde;PE
1608;Santa Cruz do Capibaribe;PE
1609;Santa Filomena;PE
1610;Santa Maria da Boa Vista;PE
1611;Santa Maria do Cambucá;PE
1612;Santa Terezinha;PE
1613;São Benedito do Sul;PE
1614;São Bento do Una;PE
1615;São Caitano;PE
1616;São João;PE
1617;São Joaquim do Monte;PE
1618;São José da Coroa Grande;PE
1619;São José do Belmonte;PE
1620;São José do Egito;PE
1621;São Lourenço da Mata;PE
1622;São Vicente Ferrer;PE
1623;Serra Talhada;PE
1624;Serrita;PE
1625;Sertânia;PE
1626;Sirinhaém;PE
1627;Moreilândia;PE
1628;Solidão;PE
1629;Surubim;PE
1630;Tabira;PE
1631;Tacaimbó;PE
1632;Tacaratu;PE
1633;Tamandaré;PE
1634;Taquaritinga do Norte;PE
1635;Terezinha;PE
1636;Terra Nova;PE
1637;Timbaúba;PE
1638;Toritama;PE
1639;Tracunhaém;PE
1640;Trindade;PE
1641;Triunfo;PE
1642;Tupanatinga;PE
1643;Tuparetama;PE
1644;Venturosa;PE
1645;Verdejante;PE
1646;Vertente do Lério;PE
1647;Vertentes;PE
1648;Vicência;PE
1649;Vitória de Santo Antão;PE
1650;Xexéu;PE
