id_cidade;nm_cidade;uf
668;Acauã;PI
669;Agricolândia;PI
670;Água Branca;PI
671;Alagoinha do Piauí;PI
672;Alegrete do Piauí;PI
673;Alto Longá;PI
674;Altos;PI
675;Alvorada do Gurguéia;PI
676;Amarante;PI
677;Angical do Piauí;PI
678;Anísio de Abreu;PI
679;Antônio Almeida;PI
680;Aroazes;PI
681;Aroeiras do Itaim;PI
682;Arraial;PI
683;Assunção do Piauí;PI
684;Avelino Lopes;PI
685;Baixa Grande do Ribeiro;PI
686;Barra D'Alcântara;PI
687;Barras;PI
688;Barreiras do Piauí;PI
689;Barro Duro;PI
690;Batalha;PI
691;Bela Vista do Piauí;PI
692;Belém do Piauí;PI
693;Beneditinos;PI
694;Bertolínia;PI
695;Betânia do Piauí;PI
696;Boa Hora;PI
697;Bocaina;PI
698;Bom Jesus;PI
699;Bom Princípio do Piauí;PI
700;Bonfim do Piauí;PI
701;Boqueirão do Piauí;PI
702;Brasileira;PI
703;Brejo do Piauí;PI
704;Buriti dos Lopes;PI
705;Buriti dos Montes;PI
706;Cabeceiras do Piauí;PI
707;Cajazeiras do Piauí;PI
708;Cajueiro da Praia;PI
709;Caldeirão Grande do Piauí;PI
710;Campinas do Piauí;PI
711;Campo Alegre do Fidalgo;PI
712;Campo Grande do Piauí;PI
713;Campo Largo do Piauí;PI
714;Campo Maior;PI
715;Canavieira;PI
716;Canto do Buriti;PI
717;Capitão de Campos;PI
718;Capitão Gervásio Oliveira;PI
719;Caracol;PI
720;Caraúbas do Piauí;PI
721;Caridade do Piauí;PI
722;Castelo do Piauí;PI
723;Caxingó;PI
724;Cocal;PI
725;Cocal de Telha;PI
726;Cocal dos Alves;PI
727;Coivaras;PI
728;Colônia do Gurguéia;PI
729;Colônia do Piauí;PI
730;Conceição do Canindé;PI
731;Coronel José Dias;PI
732;Corrente;PI
733;Cristalândia do Piauí;PI
734;Cristino Castro;PI
735;Curimatá;PI
736;Currais;PI
737;Curralinhos;PI
738;Curral Novo do Piauí;PI
739;Demerval Lobão;PI
740;Dirceu Arcoverde;PI
741;Dom Expedito Lopes;PI
742;Domingos Mourão;PI
743;Dom Inocêncio;PI
744;Elesbão Veloso;PI
745;Eliseu Martins;PI
746;Esperantina;PI
747;Fartura do Piauí;PI
748;Flores do Piauí;PI
749;Floresta do Piauí;PI
750;Floriano;PI
751;Francinópolis;PI
752;Francisco Ayres;PI
753;Francisco Macedo;PI
754;Francisco Santos;PI
755;Fronteiras;PI
756;Geminiano;PI
757;Gilbués;PI
758;Guadalupe;PI
759;Guaribas;PI
760;Hugo Napoleão;PI
761;Ilha Grande;PI
762;Inhuma;PI
763;Ipiranga do Piauí;PI
764;Isaías Coelho;PI
765;Itainópolis;PI
766;Itaueira;PI
767;Jacobina do Piauí;PI
768;Jaicós;PI
769;Jardim do Mulato;PI
770;Jatobá do Piauí;PI
771;Jerumenha;PI
772;João Costa;PI
773;Joaquim Pires;PI
774;Joca Marques;PI
775;José de Freitas;PI
776;Juazeiro do Piauí;PI
777;Júlio Borges;PI
778;Jurema;PI
779;Lagoinha do Piauí;PI
780;Lagoa Alegre;PI
781;Lagoa do Barro do Piauí;PI
782;Lagoa de São Francisco;PI
783;Lagoa do Piauí;PI
784;Lagoa do Sítio;PI
785;Landri Sales;PI
786;Luís Correia;PI
787;Luzilândia;PI
788;Madeiro;PI
789;Manoel Emídio;PI
790;Marcolândia;PI
791;Marcos Parente;PI
792;Massapê do Piauí;PI
793;Matias Olímpio;PI
794;Miguel Alves;PI
795;Miguel Leão;PI
796;Milton Brandão;PI
797;Monsenhor Gil;PI
798;Monsenhor Hipólito;PI
799;Monte Alegre do Piauí;PI
800;Morro Cabeça no Tempo;PI
801;Morro do Chapéu do Piauí;PI
802;Murici dos Portelas;PI
803;Nazaré do Piauí;PI
804;Nazária;PI
805;Nossa Senhora de Nazaré;PI
806;Nossa Senhora dos Remédios;PI
807;Novo Oriente do Piauí;PI
808;Novo Santo Antônio;PI
809;Oeiras;PI
810;Olho D'Água do Piauí;PI
