id_cidade;nm_cidade;uf
3913;Abatiá;PR
3914;Adrianópolis;PR
3915;Agudos do Sul;PR
3916;Almirante Tamandaré;PR
3917;Altamira do Paraná;PR
3918;Altônia;PR
3919;Alto Paraná;PR
3920;Alto Piquiri;PR
3921;Alvorada do Sul;PR
3922;Amaporã;PR
3923;Ampére;PR
3924;Anahy;PR
3925;Andirá;PR
3926;Ângulo;PR
3927;Antonina;PR
3928;Antônio Olinto;PR
3929;Apucarana;PR
3930;Arapongas;PR
3931;Arapoti;PR
3932;Arapuã;PR
3933;Araruna;PR
3934;Araucária;PR
3935;Ariranha do Ivaí;PR
3936;Assaí;PR
3937;Assis Chateaubriand;PR
3938;Astorga;PR
3939;Atalaia;PR
3940;Balsa Nova;PR
3941;Bandeirantes;PR
3942;Barbosa Ferraz;PR
3943;Barracão;PR
3944;Barra do Jacaré;PR
3945;Bela Vista da Caroba;PR
3946;Bela Vista do Paraíso;PR
3947;Bituruna;PR
3948;Boa Esperança;PR
3949;Boa Esperança do Iguaçu;PR
3950;Boa Ventura de São Roque;PR
3951;Boa Vista da Aparecida;PR
3952;Bocaiúva do Sul;PR
3953;Bom Jesus do Sul;PR
3954;Bom Sucesso;PR
3955;Bom Sucesso do Sul;PR
3956;Borrazópolis;PR
3957;Braganey;PR
3958;Brasilândia do Sul;PR
3959;Cafeara;PR
3960;Cafelândia;PR
3961;Cafezal do Sul;PR
3962;Califórnia;PR
3963;Cambará;PR
3964;Cambé;PR
3965;Cambira;PR
3966;Campina da Lagoa;PR
3967;Campina do Simão;PR
3968;Campina Grande do Sul;PR
3969;Campo Bonito;PR
3970;Campo do Tenente;PR
3971;Campo Largo;PR
3972;Campo Magro;PR
3973;Campo Mourão;PR
3974;Cândido de Abreu;PR
3975;Candói;PR
3976;Cantagalo;PR
3977;Capanema;PR
3978;Capitão Leônidas Marques;PR
3979;Carambeí;PR
3980;Carlópolis;PR
3981;Cascavel;PR
3982;Castro;PR
3983;Catanduvas;PR
3984;Centenário do Sul;PR
3985;Cerro Azul;PR
3986;Céu Azul;PR
3987;Chopinzinho;PR
3988;Cianorte;PR
3989;Cidade Gaúcha;PR
3990;Clevelândia;PR
3991;Colombo;PR
3992;Colorado;PR
3993;Congonhinhas;PR
3994;Conselheiro Mairinck;PR
3995;Contenda;PR
3996;Corbélia;PR
3997;Cornélio Procópio;PR
3998;Coronel Domingos Soares;PR
3999;Coronel Vivida;PR
4000;Corumbataí do Sul;PR
4001;Cruzeiro do Iguaçu;PR
4002;Cruzeiro do Oeste;PR
4003;Cruzeiro do Sul;PR
4004;Cruz Machado;PR
4005;Cruzmaltina;PR
4006;Curitiba;PR
4007;Curiúva;PR
4008;Diamante do Norte;PR
4009;Diamante do Sul;PR
4010;Diamante D'Oeste;PR
4011;Dois Vizinhos;PR
4012;Douradina;PR
4013;Doutor Camargo;PR
4014;Enéas Marques;PR
4015;Engenheiro Beltrão;PR
4016;Esperança Nova;PR
4017;Entre Rios do Oeste;PR
4018;Espigão Alto do Iguaçu;PR
4019;Farol;PR
4020;Faxinal;PR
4021;Fazenda Rio Grande;PR
4022;Fênix;PR
4023;Fernandes Pinheiro;PR
4024;Figueira;PR
4025;Floraí;PR
4026;Flor da Serra do Sul;PR
4027;Floresta;PR
4028;Florestópolis;PR
4029;Flórida;PR
4030;Formosa do Oeste;PR
4031;Foz do Iguaçu;PR
4032;Francisco Alves;PR
4033;Francisco Beltrão;PR
4034;Foz do Jordão;PR
4035;General Carneiro;PR
4036;Godoy Moreira;PR
4037;Goioerê;PR
4038;Goioxim;PR
4039;Grandes Rios;PR
4040;Guaíra;PR
4041;Guairaçá;PR
4042;Guamiranga;PR
4043;Guapirama;PR
4044;Guaporema;PR
4045;Guaraci;PR
4046;Guaraniaçu;PR
4047;Guarapuava;PR
4048;Guaraqueçaba;PR
4049;Guaratuba;PR
4050;Honório Serpa;PR
4051;Ibaiti;PR
4052;Ibema;PR
4053;Ibiporã;PR
4054;Icaraíma;PR
4055;Iguaraçu;PR
4056;Iguatu;PR
4057;Imbaú;PR
4058;Imbituva;PR
4059;Inácio Martins;PR
4060;Inajá;PR
4061;Indianópolis;PR
4062;Ipiranga;PR
4063;Iporã;PR
4064;Iracema do Oeste;PR
4065;Irati;PR
4066;Iretama;PR
4067;Itaguajé;PR
4068;Itaipulândia;PR
4069;Itambaracá;PR
4070;Itambé;PR
4071;Itapejara D'Oeste;PR
4072;Itaperuçu;PR
4073;Itaúna do Sul;PR
4074;Ivaí;PR
4075;Ivaiporã;PR
4076;Ivaté;PR
4077;Ivatuba;PR
4078;Jaboti;PR
4079;Jacarezinho;PR
4080;Jaguapitã;PR
4081;Jaguariaíva;PR
4082;Jandaia do Sul;PR
4083;Janiópolis;PR
4084;Japira;PR
4085;Japurá;PR
4086;Jardim Alegre;PR
4087;Jardim Olinda;PR
4088;Jataizinho;PR
4089;Jesuítas;PR
4090;Joaquim Távora;PR
4091;Jundiaí do Sul;PR
4092;Juranda;PR
4093;Jussara;PR
4094;Kaloré;PR
4095;Lapa;PR
4096;Laranjal;PR
4097;Laranjeiras do Sul;PR
4098;Leópolis;PR
4099;Lidianópolis;PR
4100;Lindoeste;PR
4101;Loanda;PR
4102;Lobato;PR
4103;Londrina;PR
4104;Luiziana;PR
4105;Lunardelli;PR
4106;Lupionópolis;PR
4107;Mallet;PR
4108;Mamborê;PR
4109;Mandaguaçu;PR
4110;Mandaguari;PR
4111;Mandirituba;PR
4112;Manfrinópolis;PR
4113;Mangueirinha;PR
4114;Manoel Ribas;PR
4115;Marechal Cândido Rondon;PR
4116;Maria Helena;PR
4117;Marialva;PR
4118;Marilândia do Sul;PR
4119;Marilena;PR
4120;Mariluz;PR
4121;Maringá;PR
4122;Mariópolis;PR
4123;Maripá;PR
4124;Marmeleiro;PR
4125;Marquinho;PR
4126;Marumbi;PR
4127;Matelândia;PR
4128;Matinhos;PR
4129;Mato Rico;PR
4130;Mauá da Serra;PR
4131;Medianeira;PR
4132;Mercedes;PR
4133;Mirador;PR
4134;Miraselva;PR
4135;Missal;PR
4136;Moreira Sales;PR
4137;Morretes;PR
4138;Munhoz de Melo;PR
4139;Nossa Senhora das Graças;PR
4140;Nova Aliança do Ivaí;PR
4141;Nova América da Colina;PR
4142;Nova Aurora;PR
4143;Nova Cantu;PR
4144;Nova Esperança;PR
4145;Nova Esperança do Sudoeste;PR
4146;Nova Fátima;PR
4147;Nova Laranjeiras;PR
4148;Nova Londrina;PR
4149;Nova Olímpia;PR
4150;Nova Santa Bárbara;PR
4151;Nova Santa Rosa;PR
4152;Nova Prata do Iguaçu;PR
4153;Nova Tebas;PR
4154;Novo Itacolomi;PR
4155;Ortigueira;PR
4156;Ourizona;PR
4157;Ouro Verde do Oeste;PR
4158;Paiçandu;PR
4159;Palmas;PR
4160;Palmeira;PR
4161;Palmital;PR
4162;Palotina;PR
4163;Paraíso do Norte;PR
4164;Paranacity;PR
4165;Paranaguá;PR
4166;Paranapoema;PR
4167;Paranavaí;PR
4168;Pato Bragado;PR
4169;Pato Branco;PR
4170;Paula Freitas;PR
4171;Paulo Frontin;PR
4172;Peabiru;PR
4173;Perobal;PR
4174;Pérola;PR
4175;Pérola D'Oeste;PR
4176;Piên;PR
4177;Pinhais;PR
4178;Pinhalão;PR
4179;Pinhal de São Bento;PR
4180;Pinhão;PR
4181;Piraí do Sul;PR
4182;Piraquara;PR
