id_cidade;nm_cidade;uf
3176;Angra dos Reis;RJ
3177;Aperibé;RJ
3178;Araruama;RJ
3179;Areal;RJ
3180;Armação dos Búzios;RJ
3181;Arraial do Cabo;RJ
3182;Barra do Piraí;RJ
3183;Barra Mansa;RJ
3184;Belford Roxo;RJ
3185;Bom Jardim;RJ
3186;Bom Jesus do Itabapoana;RJ
3187;Cabo Frio;RJ
3188;Cachoeiras de Macacu;RJ
3189;Cambuci;RJ
3190;Carapebus;RJ
3191;Comendador Levy Gasparian;RJ
3192;Campos dos Goytacazes;RJ
3193;Cantagalo;RJ
3194;Cardoso Moreira;RJ
3195;Carmo;RJ
3196;Casimiro de Abreu;RJ
3197;Conceição de Macabu;RJ
3198;Cordeiro;RJ
3199;Duas Barras;RJ
3200;Duque de Caxias;RJ
3201;Engenheiro Paulo de Frontin;RJ
3202;Guapimirim;RJ
3203;Iguaba Grande;RJ
3204;Itaboraí;RJ
3205;Itaguaí;RJ
3206;Italva;RJ
3207;Itaocara;RJ
3208;Itaperuna;RJ
3209;Itatiaia;RJ
3210;Japeri;RJ
3211;Laje do Muriaé;RJ
3212;Macaé;RJ
3213;Macuco;RJ
3214;Magé;RJ
3215;Mangaratiba;RJ
3216;Maricá;RJ
3217;Mendes;RJ
3218;Mesquita;RJ
3219;Miguel Pereira;RJ
3220;Miracema;RJ
3221;Natividade;RJ
3222;Nilópolis;RJ
3223;Niterói;RJ
3224;Nova Friburgo;RJ
3225;Nova Iguaçu;RJ
3226;Paracambi;RJ
3227;Paraíba do Sul;RJ
3228;Paraty;RJ
3229;Paty do Alferes;RJ
3230;Petrópolis;RJ
3231;Pinheiral;RJ
3232;Piraí;RJ
3233;Porciúncula;RJ
3234;Porto Real;RJ
3235;Quatis;RJ
3236;Queimados;RJ
3237;Quissamã;RJ
3238;Resende;RJ
3239;Rio Bonito;RJ
3240;Rio Claro;RJ
3241;Rio das Flores;RJ
3242;Rio das Ostras;RJ
3243;Rio de Janeiro;RJ
3244;Santa Maria Madalena;RJ
3245;Santo Antônio de Pádua;RJ
3246;São Francisco de Itabapoana;RJ
3247;São Fidélis;RJ
3248;São Gonçalo;RJ
3249;São João da Barra;RJ
3250;São João de Meriti;RJ
3251;São José de Ubá;RJ
3252;São José do Vale do Rio Preto;RJ
3253;São Pedro da Aldeia;RJ
3254;São Sebastião do Alto;RJ
3255;Sapucaia;RJ
3256;Saquarema;RJ
3257;Seropédica;RJ
3258;Silva Jardim;RJ
3259;Sumidouro;RJ
3260;Tanguá;RJ
3261;Teresópolis;RJ
3262;Trajano de Moraes;RJ
3263;Três Rios;RJ
3264;Valença;RJ
3265;Varre-Sai;RJ
3266;Vassouras;RJ
3267;Volta Redonda;RJ
