id_cidade;nm_cidade;uf
1076;Acari;RN
1077;Açu;RN
1078;Afonso Bezerra;RN
1079;Água Nova;RN
1080;Alexandria;RN
1081;Almino Afonso;RN
1082;Alto do Rodrigues;RN
1083;Angicos;RN
1084;Antônio Martins;RN
1085;Apodi;RN
1086;Areia Branca;RN
1087;Arês;RN
1088;Augusto Severo;RN
1089;Baía Formosa;RN
1090;Baraúna;RN
1091;Barcelona;RN
1092;Bento Fernandes;RN
1093;Bodó;RN
1094;Bom Jesus;RN
1095;Brejinho;RN
1096;Caiçara do Norte;RN
1097;Caiçara do Rio do Vento;RN
1098;Caicó;RN
1099;Campo Redondo;RN
1100;Canguaretama;RN
1101;Caraúbas;RN
1102;Carnaúba dos Dantas;RN
1103;Carnaubais;RN
1104;Ceará-Mirim;RN
1105;Cerro Corá;RN
1106;Coronel Ezequiel;RN
1107;Coronel João Pessoa;RN
1108;Cruzeta;RN
1109;Currais Novos;RN
1110;Doutor Severiano;RN
1111;Parnamirim;RN
1112;Encanto;RN
1113;Equador;RN
1114;Espírito Santo;RN
1115;Extremoz;RN
1116;Felipe Guerra;RN
1117;Fernando Pedroza;RN
1118;Florânia;RN
1119;Francisco Dantas;RN
1120;Frutuoso Gomes;RN
1121;Galinhos;RN
1122;Goianinha;RN
1123;Governador Dix-Sept Rosado;RN
1124;Grossos;RN
1125;Guamaré;RN
1126;Ielmo Marinho;RN
1127;Ipanguaçu;RN
1128;Ipueira;RN
1129;Itajá;RN
1130;Itaú;RN
1131;Jaçanã;RN
1132;Jandaíra;RN
1133;Janduís;RN
1134;Januário Cicco;RN
1135;Japi;RN
1136;Jardim de Angicos;RN
1137;Jardim de Piranhas;RN
1138;Jardim do Seridó;RN
1139;João Câmara;RN
1140;João Dias;RN
1141;José da Penha;RN
1142;Jucurutu;RN
1143;Jundiá;RN
1144;Lagoa D'Anta;RN
1145;Lagoa de Pedras;RN
1146;Lagoa de Velhos;RN
1147;Lagoa Nova;RN
1148;Lagoa Salgada;RN
1149;Lajes;RN
1150;Lajes Pintadas;RN
1151;Lucrécia;RN
1152;Luís Gomes;RN
1153;Macaíba;RN
1154;Macau;RN
1155;Major Sales;RN
1156;Marcelino Vieira;RN
1157;Martins;RN
1158;Maxaranguape;RN
1159;Messias Targino;RN
1160;Montanhas;RN
1161;Monte Alegre;RN
1162;Monte das Gameleiras;RN
1163;Mossoró;RN
1164;Natal;RN
1165;Nísia Floresta;RN
1166;Nova Cruz;RN
1167;Olho-D'Água do Borges;RN
1168;Ouro Branco;RN
1169;Paraná;RN
1170;Paraú;RN
1171;Parazinho;RN
1172;Parelhas;RN
1173;Rio do Fogo;RN
1174;Passa e Fica;RN
1175;Passagem;RN
1176;Patu;RN
1177;Santa Maria;RN
1178;Pau dos Ferros;RN
1179;Pedra Grande;RN
1180;Pedra Preta;RN
1181;Pedro Avelino;RN
1182;Pedro Velho;RN
1183;Pendências;RN
1184;Pilões;RN
1185;Poço Branco;RN
1186;Portalegre;RN
1187;Porto do Mangue;RN
1188;Presidente Juscelino;RN
1189;Pureza;RN
1190;Rafael Fernandes;RN
1191;Rafael Godeiro;RN
1192;Riacho da Cruz;RN
1193;Riacho de Santana;RN
1194;Riachuelo;RN
1195;Rodolfo Fernandes;RN
1196;Tibau;RN
1197;Ruy Barbosa;RN
1198;Santa Cruz;RN
1199;Santana do Matos;RN
1200;Santana do Seridó;RN
1201;Santo Antônio;RN
1202;São Bento do Norte;RN
1203;São Bento do Trairí;RN
1204;São Fernando;RN
1205;São Francisco do Oeste;RN
1206;São Gonçalo do Amarante;RN
1207;São João do Sabugi;RN
1208;São José de Mipibu;RN
1209;São José do Campestre;RN
1210;São José do Seridó;RN
1211;São Miguel;RN
1212;São Miguel do Gostoso;RN
1213;São Paulo do Potengi;RN
1214;São Pedro;RN
1215;São Rafael;RN
1216;São Tomé;RN
1217;São Vicente;RN
1218;Senador Elói de Souza;RN
1219;Senador Georgino Avelino;RN
1220;Serra de São Bento;RN
1221;Serra do Mel;RN
1222;Serra Negra do Norte;RN
1223;Serrinha;RN
1224;Serrinha dos Pintos;RN
1225;Severiano Melo;RN
1226;Sítio Novo;RN
1227;Taboleiro Grande;RN
1228;Taipu;RN
1229;Tangará;RN
1230;Tenente Ananias;RN
1231;Tenente Laurentino Cruz;RN
1232;Tibau do Sul;RN
1233;Timbaúba dos Batistas;RN
1234;Touros;RN
1235;Triunfo Potiguar;RN
1236;Umarizal;RN
1237;Upanema;RN
1238;Várzea;RN
1239;Venha-Ver;RN
1240;Vera Cruz;RN
1241;Viçosa;RN
1242;Vila Flor;RN
