id_cidade;nm_cidade;uf
1;Alta Floresta D'Oeste;RO
2;Ariquemes;RO
3;Cabixi;RO
4;Cacoal;RO
5;Cerejeiras;RO
6;Colorado do Oeste;RO
7;Corumbiara;RO
8;Costa Marques;RO
9;Espigão D'Oeste;RO
10;Guajará-Mirim;RO
11;Jaru;RO
12;Ji-Paraná;RO
13;Machadinho D'Oeste;RO
14;Nova Brasilândia D'Oeste;RO
15;Ouro Preto do Oeste;RO
16;Pimenta Bueno;RO
17;Porto Velho;RO
18;Presidente Médici;RO
19;Rio Crespo;RO
20;Rolim de Moura;RO
21;Santa Luzia D'Oeste;RO
22;Vilhena;RO
23;São Miguel do Guaporé;RO
24;Nova Mamoré;RO
25;Alvorada D'Oeste;RO
26;Alto Alegre dos Parecis;RO
27;Alto Paraíso;RO
28;Buritis;RO
29;Novo Horizonte do Oeste;RO
30;Cacaulândia;RO
31;Campo Novo de Rondônia;RO
32;Candeias do Jamari;RO
33;Castanheiras;RO
34;Chupinguaia;RO
35;Cujubim;RO
36;Governador Jorge Teixeira;RO
37;Itapuã do Oeste;RO
38;Ministro Andreazza;RO
39;Mirante da Serra;RO
40;Monte Negro;RO
41;Nova União;RO
42;Parecis;RO
43;Pimenteiras do Oeste;RO
44;Primavera de Rondônia;RO
45;São Felipe D'Oeste;RO
46;São Francisco do Guaporé;RO
47;Seringueiras;RO
48;Teixeirópolis;RO
49;Theobroma;RO
50;Urupá;RO
51;Vale do Anari;RO
52;Vale do Paraíso;RO
