id_cidade;nm_cidade;uf
4312;Abdon Batista;SC
4313;Abelardo Luz;SC
4314;Agrolândia;SC
4315;Agronômica;SC
4316;Água Doce;SC
4317;Águas de Chapecó;SC
4318;Águas Frias;SC
4319;Águas Mornas;SC
4320;Alfredo Wagner;SC
4321;Alto Bela Vista;SC
4322;Anchieta;SC
4323;Angelina;SC
4324;Anita Garibaldi;SC
4325;Anitápolis;SC
4326;Antônio Carlos;SC
4327;Apiúna;SC
4328;Arabutã;SC
4329;Araquari;SC
4330;Araranguá;SC
4331;Armazém;SC
4332;Arroio Trinta;SC
4333;Arvoredo;SC
4334;Ascurra;SC
4335;Atalanta;SC
4336;Aurora;SC
4337;Balneário Arroio do Silva;SC
4338;Balneário Camboriú;SC
4339;Balneário Barra do Sul;SC
4340;Balneário Gaivota;SC
4341;Bandeirante;SC
4342;Barra Bonita;SC
4343;Barra Velha;SC
4344;Bela Vista do Toldo;SC
4345;Belmonte;SC
4346;Benedito Novo;SC
4347;Biguaçu;SC
4348;Blumenau;SC
4349;Bocaina do Sul;SC
4350;Bombinhas;SC
4351;Bom Jardim da Serra;SC
4352;Bom Jesus;SC
4353;Bom Jesus do Oeste;SC
4354;Bom Retiro;SC
4355;Botuverá;SC
4356;Braço do Norte;SC
4357;Braço do Trombudo;SC
4358;Brunópolis;SC
4359;Brusque;SC
4360;Caçador;SC
4361;Caibi;SC
4362;Calmon;SC
4363;Camboriú;SC
4364;Capão Alto;SC
4365;Campo Alegre;SC
4366;Campo Belo do Sul;SC
4367;Campo Erê;SC
4368;Campos Novos;SC
4369;Canelinha;SC
4370;Canoinhas;SC
4371;Capinzal;SC
4372;Capivari de Baixo;SC
4373;Catanduvas;SC
4374;Caxambu do Sul;SC
4375;Celso Ramos;SC
4376;Cerro Negro;SC
4377;Chapadão do Lageado;SC
4378;Chapecó;SC
4379;Cocal do Sul;SC
4380;Concórdia;SC
4381;Cordilheira Alta;SC
4382;Coronel Freitas;SC
4383;Coronel Martins;SC
4384;Corupá;SC
4385;Correia Pinto;SC
4386;Criciúma;SC
4387;Cunha Porã;SC
4388;Cunhataí;SC
4389;Curitibanos;SC
4390;Descanso;SC
4391;Dionísio Cerqueira;SC
4392;Dona Emma;SC
4393;Doutor Pedrinho;SC
4394;Entre Rios;SC
4395;Ermo;SC
4396;Erval Velho;SC
4397;Faxinal dos Guedes;SC
4398;Flor do Sertão;SC
4399;Florianópolis;SC
4400;Formosa do Sul;SC
4401;Forquilhinha;SC
4402;Fraiburgo;SC
4403;Frei Rogério;SC
4404;Galvão;SC
4405;Garopaba;SC
4406;Garuva;SC
4407;Gaspar;SC
4408;Governador Celso Ramos;SC
4409;Grão Pará;SC
4410;Gravatal;SC
4411;Guabiruba;SC
4412;Guaraciaba;SC
4413;Guaramirim;SC
4414;Guarujá do Sul;SC
4415;Guatambú;SC
4416;Herval D'Oeste;SC
4417;Ibiam;SC
4418;Ibicaré;SC
4419;Ibirama;SC
4420;Içara;SC
4421;Ilhota;SC
4422;Imaruí;SC
4423;Imbituba;SC
4424;Imbuia;SC
4425;Indaial;SC
4426;Iomerê;SC
4427;Ipira;SC
4428;Iporã do Oeste;SC
4429;Ipuaçu;SC
4430;Ipumirim;SC
4431;Iraceminha;SC
4432;Irani;SC
4433;Irati;SC
4434;Irineópolis;SC
4435;Itá;SC
4436;Itaiópolis;SC
4437;Itajaí;SC
4438;Itapema;SC
4439;Itapiranga;SC
4440;Itapoá;SC
4441;Ituporanga;SC
4442;Jaborá;SC
4443;Jacinto Machado;SC
4444;Jaguaruna;SC
4445;Jaraguá do Sul;SC
4446;Jardinópolis;SC
4447;Joaçaba;SC
4448;Joinville;SC
4449;José Boiteux;SC
4450;Jupiá;SC
4451;Lacerdópolis;SC
4452;Lages;SC
4453;Laguna;SC
4454;Lajeado Grande;SC
4455;Laurentino;SC
4456;Lauro Muller;SC
4457;Lebon Régis;SC
4458;Leoberto Leal;SC
4459;Lindóia do Sul;SC
4460;Lontras;SC
4461;Luiz Alves;SC
4462;Luzerna;SC
4463;Macieira;SC
4464;Mafra;SC
4465;Major Gercino;SC
4466;Major Vieira;SC
4467;Maracajá;SC
4468;Maravilha;SC
4469;Marema;SC
4470;Massaranduba;SC
4471;Matos Costa;SC
4472;Meleiro;SC
4473;Mirim Doce;SC
4474;Modelo;SC
4475;Mondaí;SC
4476;Monte Carlo;SC
4477;Monte Castelo;SC
4478;Morro da Fumaça;SC
4479;Morro Grande;SC
4480;Navegantes;SC
4481;Nova Erechim;SC
4482;Nova Itaberaba;SC
4483;Nova Trento;SC
4484;Nova Veneza;SC
4485;Novo Horizonte;SC
4486;Orleans;SC
4487;Otacílio Costa;SC
4488;Ouro;SC
4489;Ouro Verde;SC
4490;Paial;SC
4491;Painel;SC
4492;Palhoça;SC
4493;Palma Sola;SC
4494;Palmeira;SC
4495;Palmitos;SC
4496;Papanduva;SC
4497;Paraíso;SC
4498;Passo de Torres;SC
4499;Passos Maia;SC
4500;Paulo Lopes;SC
4501;Pedras Grandes;SC
4502;Penha;SC
4503;Peritiba;SC
4504;Pescaria Brava;SC
4505;Petrolândia;SC
4506;Balneário Piçarras;SC
4507;Pinhalzinho;SC
4508;Pinheiro Preto;SC
4509;Piratuba;SC
4510;Planalto Alegre;SC
4511;Pomerode;SC
4512;Ponte Alta;SC
4513;Ponte Alta do Norte;SC
4514;Ponte Serrada;SC
4515;Porto Belo;SC
4516;Porto União;SC
4517;Pouso Redondo;SC
4518;Praia Grande;SC
4519;Presidente Castello Branco;SC
4520;Presidente Getúlio;SC
4521;Presidente Nereu;SC
4522;Princesa;SC
4523;Quilombo;SC
4524;Rancho Queimado;SC
4525;Rio das Antas;SC
4526;Rio do Campo;SC
4527;Rio do Oeste;SC
4528;Rio dos Cedros;SC
4529;Rio do Sul;SC
4530;Rio Fortuna;SC
4531;Rio Negrinho;SC
4532;Rio Rufino;SC
4533;Riqueza;SC
4534;Rodeio;SC
4535;Romelândia;SC
4536;Salete;SC
4537;Saltinho;SC
4538;Salto Veloso;SC
4539;Sangão;SC
4540;Santa Cecília;SC
4541;Santa Helena;SC
4542;Santa Rosa de Lima;SC
4543;Santa Rosa do Sul;SC
4544;Santa Terezinha;SC
4545;Santa Terezinha do Progresso;SC
4546;Santiago do Sul;SC
4547;Santo Amaro da Imperatriz;SC
4548;São Bernardino;SC
4549;São Bento do Sul;SC
4550;São Bonifácio;SC
4551;São Carlos;SC
4552;São Cristovão do Sul;SC
4553;São Domingos;SC
4554;São Francisco do Sul;SC
4555;São João do Oeste;SC
4556;São João Batista;SC
4557;São João do Itaperiú;SC
4558;São João do Sul;SC
4559;São Joaquim;SC
4560;São José;SC
4561;São José do Cedro;SC
4562;São José do Cerrito;SC
4563;São Lourenço do Oeste;SC
4564;São Ludgero;SC
4565;São Martinho;SC
4566;São Miguel da Boa Vista;SC
4567;São Miguel do Oeste;SC
4568;São Pedro de Alcântara;SC
4569;Saudades;SC
4570;Schroeder;SC
4571;Seara;SC
4572;Serra Alta;SC
4573;Siderópolis;SC
4574;Sombrio;SC
4575;Sul Brasil;SC
4576;Taió;SC
4577;Tangará;SC
4578;Tigrinhos;SC
4579;Tijucas;SC
4580;Timbé do Sul;SC
4581;Timbó;SC
4582;Timbó Grande;SC
4583;Três Barras;SC
4584;Treviso;SC
4585;Treze de Maio;SC
4586;Treze Tílias;SC
4587;Trombudo Central;SC
4588;Tubarão;SC
4589;Tunápolis;SC
4590;Turvo;SC
4591;União do Oeste;SC
4592;Urubici;SC
4593;Urupema;SC
4594;Urussanga;SC
4595;Vargeão;SC
4596;Vargem;SC
4597;Vargem Bonita;SC
4598;Vidal Ramos;SC
4599;Videira;SC
4600;Vitor Meireles;SC
4601;Witmarsum;SC
4602;Xanxerê;SC
4603;Xavantina;SC
4604;Xaxim;SC
4605;Zortéa;SC
4606;Balneário Rincão;SC
