id_cidade;nm_cidade;uf
1753;Amparo de São Francisco;SE
1754;Aquidabã;SE
1755;Aracaju;SE
1756;Arauá;SE
1757;Areia Branca;SE
1758;Barra dos Coqueiros;SE
1759;Boquim;SE
1760;Brejo Grande;SE
1761;Campo do Brito;SE
1762;Canhoba;SE
1763;Canindé de São Francisco;SE
1764;Capela;SE
1765;Carira;SE
1766;Carmópolis;SE
1767;Cedro de São João;SE
1768;Cristinápolis;SE
1769;Cumbe;SE
1770;Divina Pastora;SE
1771;Estância;SE
1772;Feira Nova;SE
1773;Frei Paulo;SE
1774;Gararu;SE
1775;General Maynard;SE
1776;Gracho Cardoso;SE
1777;Ilha das Flores;SE
1778;Indiaroba;SE
1779;Itabaiana;SE
1780;Itabaianinha;SE
1781;Itabi;SE
1782;Itaporanga D'Ajuda;SE
1783;Japaratuba;SE
1784;Japoatã;SE
1785;Lagarto;SE
1786;Laranjeiras;SE
1787;Macambira;SE
1788;Malhada dos Bois;SE
1789;Malhador;SE
1790;Maruim;SE
1791;Moita Bonita;SE
1792;Monte Alegre de Sergipe;SE
1793;Muribeca;SE
1794;Neópolis;SE
1795;Nossa Senhora Aparecida;SE
1796;Nossa Senhora da Glória;SE
1797;Nossa Senhora das Dores;SE
1798;Nossa Senhora de Lourdes;SE
1799;Nossa Senhora do Socorro;SE
1800;Pacatuba;SE
1801;Pedra Mole;SE
1802;Pedrinhas;SE
1803;Pinhão;SE
1804;Pirambu;SE
1805;Poço Redondo;SE
1806;Poço Verde;SE
1807;Porto da Folha;SE
1808;Propriá;SE
1809;Riachão do Dantas;SE
1810;Riachuelo;SE
1811;Ribeirópolis;SE
1812;Rosário do Catete;SE
1813;Salgado;SE
1814;Santa Luzia do Itanhy;SE
1815;Santana do São Francisco;SE
1816;Santa Rosa de Lima;SE
1817;Santo Amaro das Brotas;SE
1818;São Cristóvão;SE
1819;São Domingos;SE
1820;São Francisco;SE
1821;São Miguel do Aleixo;SE
1822;Simão Dias;SE
1823;Siriri;SE
1824;Telha;SE
1825;Tobias Barreto;SE
1826;Tomar do Geru;SE
1827;Umbaúba;SE
