id_cidade;nm_cidade;uf
3268;Adamantina;SP
3269;Adolfo;SP
3270;Aguaí;SP
3271;Águas da Prata;SP
3272;Águas de Lindóia;SP
3273;Águas de Santa Bárbara;SP
3274;Águas de São Pedro;SP
3275;Agudos;SP
3276;Alambari;SP
3277;Alfredo Marcondes;SP
3278;Altair;SP
3279;Altinópolis;SP
3280;Alto Alegre;SP
3281;Alumínio;SP
3282;Álvares Florence;SP
3283;Álvares Machado;SP
3284;Álvaro de Carvalho;SP
3285;Alvinlândia;SP
3286;Americana;SP
3287;Américo Brasiliense;SP
3288;Américo de Campos;SP
3289;Amparo;SP
3290;Analândia;SP
3291;Andradina;SP
3292;Angatuba;SP
3293;Anhembi;SP
3294;Anhumas;SP
3295;Aparecida;SP
3296;Aparecida D'Oeste;SP
3297;Apiaí;SP
3298;Araçariguama;SP
3299;Araçatuba;SP
3300;Araçoiaba da Serra;SP
3301;Aramina;SP
3302;Arandu;SP
3303;Arapeí;SP
3304;Araraquara;SP
3305;Araras;SP
3306;Arco-Íris;SP
3307;Arealva;SP
3308;Areias;SP
3309;Areiópolis;SP
3310;Ariranha;SP
3311;Artur Nogueira;SP
3312;Arujá;SP
3313;Aspásia;SP
3314;Assis;SP
3315;Atibaia;SP
3316;Auriflama;SP
3317;Avaí;SP
3318;Avanhandava;SP
3319;Avaré;SP
3320;Bady Bassitt;SP
3321;Balbinos;SP
3322;Bálsamo;SP
3323;Bananal;SP
3324;Barão de Antonina;SP
3325;Barbosa;SP
3326;Bariri;SP
3327;Barra Bonita;SP
3328;Barra do Chapéu;SP
3329;Barra do Turvo;SP
3330;Barretos;SP
3331;Barrinha;SP
3332;Barueri;SP
3333;Bastos;SP
3334;Batatais;SP
3335;Bauru;SP
3336;Bebedouro;SP
3337;Bento de Abreu;SP
3338;Bernardino de Campos;SP
3339;Bertioga;SP
3340;Bilac;SP
3341;Birigui;SP
3342;Biritiba-Mirim;SP
3343;Boa Esperança do Sul;SP
3344;Bocaina;SP
3345;Bofete;SP
3346;Boituva;SP
3347;Bom Jesus dos Perdões;SP
3348;Bom Sucesso de Itararé;SP
3349;Borá;SP
3350;Boracéia;SP
3351;Borborema;SP
3352;Borebi;SP
3353;Botucatu;SP
3354;Bragança Paulista;SP
3355;Braúna;SP
3356;Brejo Alegre;SP
3357;Brodowski;SP
3358;Brotas;SP
3359;Buri;SP
3360;Buritama;SP
3361;Buritizal;SP
