id_cidade;nm_cidade;uf
312;Abreulândia;TO
313;Aguiarnópolis;TO
314;Aliança do Tocantins;TO
315;Almas;TO
316;Alvorada;TO
317;Ananás;TO
318;Angico;TO
319;Aparecida do Rio Negro;TO
320;Aragominas;TO
321;Araguacema;TO
322;Araguaçu;TO
323;Araguaína;TO
324;Araguanã;TO
325;Araguatins;TO
326;Arapoema;TO
327;Arraias;TO
328;Augustinópolis;TO
329;Aurora do Tocantins;TO
330;Axixá do Tocantins;TO
331;Babaçulândia;TO
332;Bandeirantes do Tocantins;TO
333;Barra do Ouro;TO
334;Barrolândia;TO
335;Bernardo Sayão;TO
336;Bom Jesus do Tocantins;TO
337;Brasilândia do Tocantins;TO
338;Brejinho de Nazaré;TO
339;Buriti do Tocantins;TO
340;Cachoeirinha;TO
341;Campos Lindos;TO
342;Cariri do Tocantins;TO
343;Carmolândia;TO
344;Carrasco Bonito;TO
345;Caseara;TO
346;Centenário;TO
347;Chapada de Areia;TO
348;Chapada da Natividade;TO
349;Colinas do Tocantins;TO
350;Combinado;TO
351;Conceição do Tocantins;TO
352;Couto Magalhães;TO
353;Cristalândia;TO
354;Crixás do Tocantins;TO
355;Darcinópolis;TO
356;Dianópolis;TO
357;Divinópolis do Tocantins;TO
358;Dois Irmãos do Tocantins;TO
359;Dueré;TO
360;Esperantina;TO
361;Fátima;TO
362;Figueirópolis;TO
363;Filadélfia;TO
364;Formoso do Araguaia;TO
365;Fortaleza do Tabocão;TO
366;Goianorte;TO
367;Goiatins;TO
368;Guaraí;TO
369;Gurupi;TO
370;Ipueiras;TO
371;Itacajá;TO
372;Itaguatins;TO
373;Itapiratins;TO
374;Itaporã do Tocantins;TO
375;Jaú do Tocantins;TO
376;Juarina;TO
377;Lagoa da Confusão;TO
378;Lagoa do Tocantins;TO
379;Lajeado;TO
380;Lavandeira;TO
381;Lizarda;TO
382;Luzinópolis;TO
383;Marianópolis do Tocantins;TO
384;Mateiros;TO
385;Maurilândia do Tocantins;TO
386;Miracema do Tocantins;TO
387;Miranorte;TO
388;Monte do Carmo;TO
389;Monte Santo do Tocantins;TO
390;Palmeiras do Tocantins;TO
391;Muricilândia;TO
392;Natividade;TO
393;Nazaré;TO
394;Nova Olinda;TO
395;Nova Rosalândia;TO
396;Novo Acordo;TO
397;Novo Alegre;TO
398;Novo Jardim;TO
399;Oliveira de Fátima;TO
400;Palmeirante;TO
401;Palmeirópolis;TO
402;Paraíso do Tocantins;TO
403;Paranã;TO
404;Pau D'Arco;TO
405;Pedro Afonso;TO
406;Peixe;TO
407;Pequizeiro;TO
408;Colméia;TO
409;Pindorama do Tocantins;TO
410;Piraquê;TO
411;Pium;TO
412;Ponte Alta do Bom Jesus;TO
413;Ponte Alta do Tocantins;TO
414;Porto Alegre do Tocantins;TO
415;Porto Nacional;TO
416;Praia Norte;TO
417;Presidente Kennedy;TO
418;Pugmil;TO
419;Recursolândia;TO
420;Riachinho;TO
421;Rio da Conceição;TO
422;Rio dos Bois;TO
423;Rio Sono;TO
424;Sampaio;TO
425;Sandolândia;TO
426;Santa Fé do Araguaia;TO
427;Santa Maria do Tocantins;TO
428;Santa Rita do Tocantins;TO
429;Santa Rosa do Tocantins;TO
430;Santa Tereza do Tocantins;TO
431;Santa Terezinha do Tocantins;TO
432;São Bento do Tocantins;TO
433;São Félix do Tocantins;TO
434;São Miguel do Tocantins;TO
435;São Salvador do Tocantins;TO
436;São Sebastião do Tocantins;TO
437;São Valério;TO
438;Silvanópolis;TO
439;Sítio Novo do Tocantins;TO
440;Sucupira;TO
441;Taguatinga;TO
442;Taipas do Tocantins;TO
443;Talismã;TO
444;Palmas;TO
445;Tocantínia;TO
446;Tocantinópolis;TO
447;Tupirama;TO
448;Tupiratins;TO
449;Wanderlândia;TO
450;Xambioá;TO
